Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
18,-107.25508,4.4500246,-133.37976,-103.274414,52.845,23.0,207.0,-5.8378234,-8.04941,-3.2961574,0.10704853,-2.7318888,1.4565862,-0.107048534,0.13904324,-0.0074484106,-0.02571632,0.7324581,0.001714949,80.0,65025,1.0049459,0.0002966,-81.58576202392578,14.16828441619873,0.5033446750298546,576000,227,2523
19,-107.46065,4.7078547,-134.31036,-103.23924,54.016922,24.0,195.0,-5.701939,-7.982189,-3.5140665,0.10339999,-2.82165,1.4655439,-0.10339999,0.14167029,-0.007935209,-0.02485279,0.7317973,0.0018586013,80.0,65025,1.0042496,0.0002964,-81.38587188720703,14.336690902709961,0.5030120063706592,608000,240,2537
20,-107.44767,4.4637284,-128.88277,-103.4675,54.253403,24.0,187.0,-5.6145263,-7.857489,-3.560217,0.09011833,-2.541978,1.3906329,-0.09011833,0.11970806,-0.0069490783,-0.02122857,0.73113567,0.0018297604,80.0,65025,1.0046387,0.00029619999999999994,-81.1981201171875,14.49585247039795,0.5026793478433647,640000,252,2542
21,-107.89399,5.236387,-138.8036,-103.35592,56.93918,23.0,265.0,-5.470552,-7.8921795,-3.098176,0.09594394,-3.5395768,1.5746326,-0.09594394,0.13965511,-0.0082089845,-0.026270052,0.73047364,0.002018941,80.0,65025,1.004582,0.000296,-80.95539855957031,14.742959976196289,0.5023466697765746,672000,265,2536
22,-107.87954,5.419204,-139.75752,-103.096146,56.503548,21.0,234.0,-5.3914037,-7.7938523,-3.1486294,0.08700566,-2.7620664,1.4887265,-0.08700566,0.11566657,-0.0071287006,-0.022670763,0.729811,0.0018634629,80.0,65025,1.0043764,0.0002958,-80.7488021850586,14.937694549560547,0.5020140024227473,704000,278,2540
23,-107.80648,5.0184035,-143.32132,-103.34781,56.27337,24.0,280.0,-5.292825,-8.062005,-3.2605345,0.06645633,-2.3557405,1.7454051,-0.06645633,0.10710421,-0.007221291,-0.017152138,0.7291482,0.0020359317,80.0,65025,1.004923,0.0002956,-80.5817642211914,15.068727493286133,0.5016813460522958,736000,290,2540
24,-108.25815,5.0082183,-128.76141,-103.49357,59.75564,24.0,205.0,-5.145324,-7.6950626,-2.9957893,0.067804135,-2.7935393,1.5025984,-0.06780413,0.10256304,-0.0070893364,-0.01803419,0.728485,0.0019988741,80.0,65025,1.0037258,0.00029539999999999997,-80.36370849609375,15.262247085571289,0.5013486710527296,768000,303,2540
25,-108.44254,5.649482,-142.54802,-103.42473,60.730915,24.0,284.0,-5.0890646,-7.607522,-2.9124238,0.07174756,-2.5418653,1.3019977,-0.07174756,0.09457235,-0.0068829088,-0.018289557,0.7278213,0.0021747928,80.0,65025,1.0040815,0.00029519999999999997,-80.14773559570312,15.457022666931152,0.5010160076164407,800000,315,2538
26,-108.72636,6.0315595,-141.81445,-103.45524,61.813953,23.0,272.0,-5.036858,-7.5142093,-2.6624355,0.08241464,-2.861699,1.2031394,-0.08241464,0.08720131,-0.006530158,-0.01615504,0.727157,0.0019250759,80.0,65025,1.0068058,0.00029499999999999996,-79.93614196777344,15.639111518859863,0.5006833261702077,832000,328,2519
27,-108.42666,5.4466777,-140.94443,-103.19591,60.773766,25.0,232.0,-4.96058,-7.5303106,-2.7672877,0.059841238,-6.5198684,1.2544365,-0.059841234,0.09659064,-0.006994294,-0.015043095,0.7264922,0.0021808804,80.0,65025,1.0057166,0.00029479999999999996,-79.76951599121094,15.750205039978027,0.5003506568663759,864000,341,2543
