Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
18,-211.20764,286.66965,-2132.584,-100.92529,100.82637,7.0,500.0,-1.9247149,-8.005056,0.5956112,-0.036655482,-1.6984242,1.2910072,0.036655486,0.04042746,-0.0020642916,-0.008156778,0.6864751,0.0012787783,80.0,1371,0.996866,0.000283,-118.87139129638672,81.23577880859375,0.48072333578711923,576000,83,6870
19,-246.65468,331.44028,-2002.7222,-100.44918,119.29572,3.0,500.0,-2.017723,-8.114439,1.1259667,-0.051097903,-2.2038941,3.6521811,0.051097907,0.046888683,-0.0023968385,-0.0078856405,0.68300915,0.0012584096,80.0,1371,0.99663806,0.00028199999999999997,-120.0836181640625,82.59905242919922,0.4790599994846701,608000,88,6808
20,-221.98178,291.39465,-1600.5264,-100.65713,102.15734,5.0,500.0,-1.956293,-7.806227,2.6971061,-0.053201742,-3.686044,3.132685,0.053201742,0.048028097,-0.002356967,-0.012844708,0.679531,0.0012587428,80.0,1371,0.9972176,0.00028099999999999995,-121.07392883300781,83.10171508789062,0.4773966704854364,640000,93,6854
21,-235.73169,303.68222,-1919.9015,-101.14708,116.156715,7.0,500.0,-1.992947,-7.8790727,0.7823867,-0.028022835,-1.9704151,1.0872813,0.028022833,0.035812072,-0.0020810608,-0.006945671,0.6760407,0.0012910748,80.0,1371,0.9975455,0.00028,-121.76207733154297,83.3917007446289,0.47573333203587226,672000,97,6868
22,-222.39073,297.43665,-2259.9995,-100.72076,101.74916,9.0,500.0,-1.8200691,-8.3314085,1.3028038,-0.04347797,-1.741786,3.527761,0.043477967,0.056303144,-0.0028159788,-0.007807249,0.6725381,0.0014047762,80.0,1371,0.99695027,0.00027899999999999995,-122.48690795898438,83.90219116210938,0.4740699962916369,704000,102,6839
23,-231.34796,288.8942,-1842.1625,-100.95931,119.70703,8.0,500.0,-1.9142104,-7.756589,1.0284013,-0.021128744,-2.1537356,1.9373225,0.021128744,0.028553175,-0.0018019421,-0.0051450236,0.66902345,0.0012202852,80.0,1371,0.9970613,0.000278,-122.73406982421875,83.86681365966797,0.4724066756627696,736000,107,6863
24,-226.2479,283.98633,-1616.9128,-100.67505,111.92,4.0,500.0,-1.8855633,-7.2682095,0.26007873,-0.036133464,-1.4478219,3.9825978,0.03613346,0.037607837,-0.0023770577,-0.0050543533,0.6654962,0.0015093207,80.0,1371,0.9969309,0.00027699999999999996,-123.1871566772461,83.81171417236328,0.4707433266952096,768000,111,6815
25,-191.51807,215.12305,-1254.8958,-100.7571,97.65048,7.0,500.0,-1.6407475,-7.150094,0.29274473,-0.024129463,-1.4458721,4.092849,0.024129465,0.03464797,-0.0024632153,-0.005343724,0.6619567,0.0015384319,80.0,1371,0.99835104,0.000276,-122.9144515991211,83.17875671386719,0.46907999085743085,800000,116,6840
26,-198.4003,232.53305,-1627.4388,-100.67717,103.54934,8.0,500.0,-1.5207723,-7.5660305,1.1464691,-0.03202784,-1.466198,3.6606598,0.032027837,0.0392776,-0.0026445563,-0.0071874987,0.6584043,0.0014593652,80.0,1371,0.9973315,0.00027499999999999996,-122.65010833740234,82.81880187988281,0.46741665375073926,832000,121,6842
27,-211.09099,245.64436,-1502.9579,-100.41318,113.68382,2.0,500.0,-1.5213064,-7.000207,0.2546103,-0.044092815,-1.4803876,2.441085,0.04409281,0.036761858,-0.0024169348,-0.012807742,0.6548394,0.0014057003,80.0,1371,0.99665785,0.000274,-122.4727554321289,82.38114929199219,0.4657533293823154,864000,125,6787
28,-196.34714,238.05055,-1472.9487,-100.74649,95.12195,9.0,500.0,-1.5139503,-7.0680556,0.3129769,-0.058104225,-1.318363,2.510535,0.058104225,0.038085356,-0.0027284992,-0.01277037,0.6512619,0.0016170939,80.0,1371,0.9947221,0.00027299999999999997,-122.49891662597656,82.03245544433594,0.46409000434407544,896000,131,5802
29,-178.80605,197.5201,-1547.6841,-100.66452,90.26,7.0,500.0,-1.4231181,-7.5302906,-0.009488211,-0.033331178,-1.2121269,2.6376777,0.03333118,0.029233588,-0.0022654359,-0.009426039,0.64767116,0.0015050278,80.0,1371,0.9954378,0.00027199999999999994,-122.0896987915039,81.60054779052734,0.46242666586954706,928000,139,4105
30,-194.6795,227.66125,-1715.6566,-100.639946,99.15858,5.0,500.0,-1.5459617,-7.2501698,-0.012748234,-0.041276414,-1.1986223,2.899877,0.041276418,0.030139586,-0.0023345875,-0.011102742,0.6440678,0.0015439973,80.0,1371,0.99480355,0.000271,-121.93630981445312,81.27191162109375,0.46076332929586983,960000,145,5127
31,-176.40575,213.5025,-2251.0894,-100.8002,85.111115,4.0,500.0,-1.4630955,-7.4204545,0.022859076,-0.029935244,-1.1623541,1.0843546,0.029935244,0.021893978,-0.0022889555,-0.006647362,0.6404514,0.0016522268,80.0,1371,0.99669015,0.00027,-121.67533874511719,80.99931335449219,0.45910001020193186,992000,150,6383
32,-171.28212,171.7906,-1164.4642,-100.830185,85.128136,6.0,500.0,-1.3413771,-5.5256696,0.2339659,-0.034408815,-1.486923,2.5956764,0.034408815,0.027660543,-0.002477928,-0.0086776875,0.6368217,0.0017435325,80.0,1371,0.99541163,0.000269,-121.2642593383789,80.3633804321289,0.45743666987598686,1024000,155,6211
