Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
18,-911.5699,882.6874,-3366.0034,-101.795685,318.9896,7.0,500.0,-2.8804417,-6.919036,1.5923818,0.0030762826,-5.493385,1.8185914,-0.0030762814,0.17451577,-0.005966666,-0.03716852,0.7324581,0.0016391969,80.0,10795,0.99772835,0.0002966,-127.58721160888672,124.25205993652344,0.5033446750298546,576000,89,6411
19,-613.3103,727.18317,-3110.341,-101.33544,269.17545,8.0,500.0,-2.4024096,-6.8883805,0.91844386,0.07850566,-5.1968894,3.6159976,-0.07850565,0.1358253,-0.0044475803,-0.021560226,0.7317973,0.0012142803,80.0,10795,1.0010234,0.0002964,-131.3069305419922,129.5604705810547,0.5030120063706592,608000,94,6389
20,-824.3038,900.06464,-3708.7534,-101.50474,302.02,7.0,500.0,-2.5834363,-7.159328,-0.1882725,0.020871053,-6.1472344,1.2145952,-0.020871054,0.15747052,-0.0049495865,-0.018397188,0.73113567,0.0014413155,80.0,10795,0.9998412,0.00029619999999999994,-136.97210693359375,139.15333557128906,0.5026793478433647,640000,99,6423
21,-607.8898,761.0717,-3426.328,-101.90598,255.19167,8.0,500.0,-2.2126305,-7.0536833,0.18881245,0.05292526,-5.43249,1.29349,-0.052925255,0.1288142,-0.0041211015,-0.01170147,0.7304736,0.001205618,80.0,10795,1.000874,0.000296,-140.360595703125,143.60292053222656,0.5023466697765746,672000,104,6382
22,-794.679,901.5775,-3858.5466,-102.245476,291.7619,9.0,500.0,-2.2667718,-7.1614976,0.7775722,0.007319133,-6.1312313,1.1741104,-0.00731913,0.13326234,-0.0046299864,-0.009455238,0.729811,0.0016415559,80.0,10795,0.99881756,0.0002958,-144.92628479003906,150.75662231445312,0.5020140024227473,704000,109,6400
23,-515.3731,710.77106,-3112.9854,-101.54529,229.88637,7.0,500.0,-1.8829983,-7.2513847,0.2792009,0.035913553,-5.8545976,1.1786674,-0.03591355,0.117552504,-0.0041793725,-0.006225791,0.7291482,0.0014124244,80.0,10795,1.0015337,0.0002956,-147.1192626953125,153.39173889160156,0.5016813460522958,736000,114,6382
24,-661.0993,774.19214,-2975.6248,-123.580086,268.9652,58.0,500.0,-1.9949558,-7.20543,0.24096535,0.009606851,-5.856562,1.139289,-0.009606851,0.11385213,-0.0040818667,-0.0040931753,0.728485,0.0015155058,80.0,10795,1.000855,0.00029539999999999997,-150.02151489257812,156.35806274414062,0.5013486710527296,768000,119,6369
25,-546.0304,810.72546,-4330.9434,-126.6531,231.36154,56.0,500.0,-1.7679979,-7.6038833,0.18878716,0.019049095,-6.5437584,5.533775,-0.019049093,0.13391861,-0.0044750813,-0.0051500197,0.7278213,0.0013824699,80.0,10795,1.0005863,0.00029519999999999997,-152.18804931640625,160.0771484375,0.5010160076164407,800000,124,6368
26,-449.66568,682.41125,-4978.6196,-101.649315,218.47058,8.0,500.0,-1.5000937,-7.668627,0.27705243,0.019418174,-6.736168,1.3500806,-0.019418173,0.07894109,-0.0037208144,-0.00724597,0.727157,0.0014487341,80.0,10795,0.9994247,0.00029499999999999996,-153.1519012451172,161.5011749267578,0.5006833261702077,832000,129,6383
27,-516.8464,799.1337,-3762.9592,-101.90536,206.91275,8.0,500.0,-1.7140703,-7.538991,0.65756357,-0.0029251785,-6.8334117,1.0095677,0.00292518,0.12499267,-0.0046043373,-0.0053589167,0.7264922,0.0016462535,80.0,10795,0.99887276,0.00029479999999999996,-155.53501892089844,165.19334411621094,0.5003506568663759,864000,134,6363
