Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-2515.8674,1078.3066,-5379.2744,-101.03727,492.3125,8.0,500.0,-0.08451435,-0.49697703,0.32981172,-72.85345,-168.1264,-1.7887738,72.85345,8570.24,-0.93450975,-810.7026,0.7436313,0.0016167135,80.0,8411,0.9877317,0.0003,-482.3135986328125,311.7220458984375,0.508999994180536,32000,4,6704
2,-2257.5952,1063.027,-5005.2085,-686.1569,500.0,500.0,500.0,3.1141534,-9.743034,9.420554,-1.0925815,-10.247946,11.845936,1.0925815,5.628301,-0.03406828,-2.2967105,0.7411775,0.0017842592,80.0,8411,0.99542904,0.00029925,-455.616943359375,303.30157470703125,0.5077525088172976,64000,9,6682
3,-2188.2056,958.3032,-4505.792,-101.242676,492.29688,7.0,500.0,1.0387836,-10.341304,9.207671,-0.82136774,-6.512181,8.304819,0.82136774,2.3125353,-0.019283198,-1.5856333,0.73871726,0.0016808691,80.0,8411,0.99551904,0.0002985,-444.6506042480469,292.5519714355469,0.5065050014657152,96000,14,6617
4,-2251.643,882.88354,-4437.5757,-100.578445,484.64062,8.0,500.0,-0.6108842,-10.225727,8.200923,-0.5585853,-3.1319861,4.8408084,0.5585853,1.2235607,-0.010655303,-0.81586564,0.73625153,0.0012037829,80.0,8411,0.99653465,0.00029775,-443.7295837402344,283.6239929199219,0.5052574873300075,128000,19,6201
5,-2073.937,856.1743,-4261.659,-101.70015,492.29688,7.0,500.0,-0.3003195,-10.102626,7.359535,-0.54033685,-2.7369068,4.2876234,0.54033685,0.85697955,-0.009622838,-0.57734835,0.73377925,0.0014233022,80.0,8411,0.9959202,0.00029699999999999996,-434.6928405761719,277.06219482421875,0.504010011618452,160000,24,6594
6,-2332.6282,864.2531,-4051.8325,-421.8494,500.0,500.0,500.0,-1.2628636,-10.024708,6.49975,-0.39706168,-2.1280212,3.5650127,0.39706168,0.6276317,-0.007814672,-0.42118174,0.73130125,0.0013067579,80.0,8411,0.9961612,0.00029624999999999996,-436.1563415527344,274.9757080078125,0.5027624993364241,192000,29,6617
7,-2315.3103,938.113,-4807.981,-659.8259,500.0,500.0,500.0,-1.7318214,-9.843846,5.297031,-0.2984327,-2.2338204,2.2689884,0.2984327,0.40479282,-0.0061549842,-0.2639595,0.72881687,0.0012773473,80.0,8411,0.99568224,0.00029549999999999997,-436.73724365234375,274.72357177734375,0.5015149959142412,224000,34,6602
8,-2252.4375,945.57623,-4176.662,-101.315445,492.29688,7.0,500.0,-1.7507488,-9.663757,4.7812643,-0.25098398,-2.7867749,2.6615288,0.25098395,0.30887628,-0.0053919908,-0.20130931,0.7263261,0.0012465471,80.0,8411,0.9955788,0.00029475,-436.0361022949219,273.62310791015625,0.5002674868101435,256000,39,6590
9,-2387.002,754.6363,-3896.9001,-670.27545,500.0,500.0,500.0,-2.1886935,-9.383804,3.7679822,-0.17989036,-1.6597097,1.8001249,0.17989036,0.20001262,-0.0050460733,-0.12013111,0.7238293,0.001438845,80.0,8411,0.9962909,0.000294,-438.0058288574219,271.34906005859375,0.49901998748530696,288000,44,6352
10,-2173.3213,914.66064,-4432.009,-691.7293,500.0,500.0,500.0,-1.6983371,-9.213632,2.9715075,-0.18677492,-1.5194857,1.306504,0.18677491,0.14489828,-0.0044118464,-0.08275598,0.7213266,0.0014475208,80.0,8411,0.9953438,0.00029325,-435.421875,270.34698486328125,0.4977725133622184,320000,48,6541
11,-2060.1543,824.0997,-4404.946,-496.59048,500.0,500.0,500.0,-1.8536992,-8.7883215,2.481018,-0.13227013,-1.3483607,1.6267903,0.13227013,0.10678925,-0.0031741215,-0.05811289,0.718817,0.0012190009,80.0,8411,0.9961781,0.00029249999999999995,-431.3636474609375,268.38818359375,0.4965249910387956,352000,53,6569
12,-2249.0725,897.01624,-4617.264,-418.7101,500.0,500.0,500.0,-2.2145748,-8.478013,2.210276,-0.091087915,-1.3362042,1.2275723,0.091087915,0.07588984,-0.0030021989,-0.036443647,0.71630126,0.0013373184,80.0,8411,0.99621534,0.00029174999999999996,-431.0142822265625,267.97283935546875,0.4952774955701615,384000,58,6535
13,-2225.3066,975.18195,-4146.7173,-225.84834,494.90625,174.0,500.0,-2.1095843,-8.485055,1.7826834,-0.086654924,-1.8471549,1.5251065,0.086654924,0.06660713,-0.002679756,-0.030511826,0.71377957,0.0012843942,80.0,8411,0.99688697,0.00029099999999999997,-430.4774475097656,268.1155700683594,0.49403001303756583,416000,63,6534
14,-2066.8384,807.48,-4941.206,-102.38559,490.76562,8.0,500.0,-2.0044405,-8.467188,2.2247467,-0.073842786,-1.6862657,1.4541329,0.073842786,0.051076494,-0.0024825851,-0.020295732,0.7112512,0.0013846705,80.0,8411,0.995603,0.00029025,-428.1139831542969,266.1376037597656,0.4927825004076885,448000,68,6564
15,-2275.3853,936.8254,-4789.6274,-699.50104,498.48438,403.0,500.0,-2.0549452,-8.332682,1.6881634,-0.07658605,-1.3495694,1.2962962,0.07658605,0.048624873,-0.002490257,-0.019736089,0.7087164,0.0013400535,80.0,8411,0.9955393,0.0002895,-428.3465576171875,266.298583984375,0.4915350030951986,480000,73,6404
16,-2070.963,794.4258,-3908.0288,-592.24786,498.59375,410.0,500.0,-2.129265,-7.818818,1.3962232,-0.04180781,-1.1573701,0.98965913,0.041807808,0.033755124,-0.002138637,-0.009077497,0.7061752,0.0014842894,80.0,8411,0.99739367,0.00028875,-426.13580322265625,264.8465881347656,0.49028750773003377,512000,78,6086
17,-1893.8748,805.733,-4052.3591,-101.82296,482.54688,7.0,500.0,-1.882731,-7.810956,1.3401046,-0.052952394,-1.3975917,1.5040965,0.052952394,0.033151716,-0.0021079208,-0.010333876,0.7036275,0.0014384345,80.0,8411,0.9969033,0.00028799999999999995,-422.86907958984375,263.1514892578125,0.4890400011987705,544000,83,6511
18,-2181.803,834.13904,-4387.059,-101.72059,492.25,8.0,500.0,-2.284184,-7.537888,1.4672307,-0.034197867,-1.712294,0.8175655,0.034197867,0.02934311,-0.0020197683,-0.007884603,0.7010733,0.001552681,80.0,8411,0.99820364,0.00028724999999999996,-422.563232421875,262.16009521484375,0.4877924997190112,576000,88,6556
19,-1891.6356,884.36426,-3581.3555,-102.11226,475.84375,8.0,500.0,-2.0087075,-7.4768577,0.7245727,-0.035310376,-0.9299923,1.0004193,0.035310373,0.025822047,-0.0020435217,-0.0072561554,0.6985127,0.0015440492,80.0,8411,0.9974108,0.00028649999999999997,-420.14129638671875,261.22808837890625,0.48654499046660055,608000,93,6289
20,-1909.9772,784.475,-3719.524,-438.251,493.8125,330.0,500.0,-1.8643125,-7.155014,1.1011329,-0.04346374,-1.4482571,0.8809075,0.043463744,0.026037361,-0.0018526439,-0.008630499,0.6959454,0.0014128649,80.0,8411,0.9979781,0.00028575,-417.2982177734375,260.1883239746094,0.4852974897990611,640000,98,6472
21,-1749.2092,921.11847,-4164.2676,-101.14092,473.46875,8.0,500.0,-1.7856842,-7.5577693,0.5979717,-0.038569923,-0.8673666,1.8024906,0.03856992,0.022786487,-0.001771056,-0.0069054086,0.69337153,0.0013471494,80.0,8411,0.9974321,0.000285,-413.85723876953125,259.9014587402344,0.4840500140318596,672000,103,6505
22,-2002.0352,795.19727,-3847.958,-564.68774,493.28125,366.0,500.0,-1.9892468,-6.7268577,1.2553059,-0.04167386,-1.3972641,0.7606066,0.04167386,0.023010697,-0.0018277882,-0.005526524,0.6907911,0.0014339442,80.0,8411,0.99672055,0.00028425,-412.3365478515625,258.9863586425781,0.48280249310626655,704000,108,6089
23,-1916.2189,908.509,-3880.3142,-101.581825,474.87692,8.0,500.0,-1.9574903,-6.9729652,0.870016,-0.03407672,-1.1517267,1.6698799,0.03407672,0.023200348,-0.0019348804,-0.006671808,0.6882037,0.0015270077,80.0,8411,0.99772954,0.00028349999999999995,-410.5245361328125,258.698974609375,0.48155500132769846,736000,113,6384
24,-1810.5488,850.1957,-4342.0034,-102.21003,475.51514,8.0,500.0,-1.9875933,-7.5206237,1.1531146,-0.021117864,-1.5261172,1.3304218,0.021117864,0.01825356,-0.0017944189,-0.003608934,0.6856098,0.001590433,80.0,8411,0.99787456,0.00028274999999999996,-408.2696533203125,257.8659973144531,0.4803074978494437,768000,118,6284
25,-2074.8687,908.74786,-4196.1333,-371.19672,489.70312,261.0,500.0,-2.1140711,-7.3532906,0.6497778,-0.03566075,-0.9597477,1.0477018,0.03566075,0.01903306,-0.0017673,-0.004920006,0.68300915,0.0014866774,80.0,8411,0.99798816,0.00028199999999999997,-407.7762145996094,257.7478332519531,0.4790599994846701,800000,123,6521
26,-1915.7017,839.68536,-3722.241,-204.0378,482.7077,143.0,500.0,-2.0251215,-6.9285526,0.5664613,-0.031728692,-0.92607224,0.8562233,0.031728692,0.018070795,-0.001711118,-0.004869772,0.6804018,0.0015218598,80.0,8411,0.997523,0.00028125,-406.3570556640625,256.9748840332031,0.47781249452298535,832000,128,6524
27,-1729.3658,812.6648,-3738.0818,-102.72598,462.6154,11.0,500.0,-1.9360813,-6.8927727,0.36094707,-0.02115387,-0.78284526,0.75043184,0.021153867,0.015373343,-0.0016333655,-0.0032215975,0.67778754,0.0015476968,80.0,8411,0.9983411,0.0002805,-404.06768798828125,255.9499969482422,0.4765649999128534,864000,133,6559
28,-1450.1771,836.8147,-3288.7727,-179.18149,448.10294,160.0,500.0,-1.6896958,-7.2026453,0.42213887,-0.012298186,-1.0079951,1.3932955,0.012298187,0.015699664,-0.0016491807,-0.0034580217,0.6751662,0.0015624146,80.0,8411,0.99846435,0.00027975,-400.3979187011719,255.7893829345703,0.47531750422720326,896000,138,6517
29,-1806.5741,931.0122,-3665.7837,-173.03983,460.93848,138.0,500.0,-1.9795046,-7.1744537,0.3196519,-0.02327616,-0.9555143,1.3442458,0.023276161,0.015616214,-0.0016682749,-0.004074176,0.6725381,0.0015658416,80.0,8411,0.9977641,0.00027899999999999995,-398.9273376464844,255.38575744628906,0.4740699962916369,928000,143,6521
30,-1600.8939,996.90125,-4065.6045,-102.29649,435.9,7.0,500.0,-1.8786184,-7.201587,0.45919722,-0.021747295,-0.85366565,1.1538562,0.021747295,0.014345496,-0.0018501583,-0.0028568625,0.6699031,0.0018144337,80.0,8411,0.99690914,0.00027824999999999996,-396.81378173828125,255.31845092773438,0.47282249336649346,960000,148,6549
31,-1488.2307,963.60876,-4284.188,-173.3512,431.12677,125.0,500.0,-1.7092677,-7.2108164,0.17894849,-0.027426474,-1.0508897,1.455594,0.027426472,0.015708787,-0.001712217,-0.003974276,0.6672615,0.0016513929,80.0,8411,0.99724275,0.00027749999999999997,-394.201904296875,255.29896545410156,0.47157501266664786,992000,153,5953
32,-1466.8004,1018.74615,-4199.7056,-101.82907,429.66196,7.0,500.0,-1.6384542,-6.950345,0.38770497,-0.030166823,-0.93341,1.2379432,0.030166823,0.017094988,-0.0018218781,-0.005113361,0.66461235,0.0016598405,80.0,8411,0.99695385,0.00027675,-391.8583679199219,255.46621704101562,0.4703274872600388,1024000,158,6524
33,-1477.4906,985.755,-3508.8308,-171.16959,421.6111,135.0,500.0,-1.7519714,-7.437868,0.43043068,-0.020277081,-1.0942434,1.6377448,0.02027708,0.016580882,-0.0018209199,-0.0050589824,0.6619567,0.0017531029,80.0,8411,0.9971225,0.000276,-389.7010192871094,255.52880859375,0.46907999085743085,1056000,163,6525
34,-1455.0286,984.3823,-4503.7334,-101.01115,410.44446,7.0,500.0,-1.8210738,-7.569799,0.34310645,-0.01764023,-0.9045387,0.7858101,0.01764023,0.013165232,-0.0015470833,-0.0033134895,0.65929353,0.0016338311,80.0,8411,0.99904454,0.00027525,-387.708740234375,255.3943328857422,0.4678325128732063,1088000,168,6493
35,-1365.8917,1024.2404,-3829.0571,-100.873405,384.6329,7.0,500.0,-1.7178037,-7.5159717,0.9106324,-0.02748688,-1.2886819,1.9565408,0.027486881,0.018965688,-0.0020490957,-0.0057223383,0.6566235,0.001665489,80.0,8411,0.99716866,0.0002745,-385.9111633300781,255.24551391601562,0.4665849873509768,1120000,173,6491
36,-1305.7909,1065.7404,-4061.0996,-100.77065,365.36905,7.0,500.0,-1.7585493,-7.604157,0.37942296,-0.0247859,-0.8516229,1.6585612,0.0247859,0.017255647,-0.0018891578,-0.005280436,0.653946,0.0017850073,80.0,8411,0.9964577,0.00027374999999999996,-384.3233642578125,255.34104919433594,0.4653374878607107,1152000,178,6534
37,-1307.7834,1025.2815,-3661.6238,-143.37569,371.23456,100.0,500.0,-1.6837785,-7.467962,0.5208168,-0.023166977,-0.77703214,1.8988585,0.02316698,0.018375741,-0.0020625233,-0.00467449,0.6512619,0.0017900476,80.0,8411,0.9973959,0.00027299999999999997,-382.692626953125,255.31524658203125,0.46409000434407544,1184000,183,6168
38,-1295.7843,1066.3788,-3664.9033,-101.59094,361.12048,8.0,500.0,-1.6945999,-7.5830517,0.42492944,-0.022447718,-0.9477952,1.8729746,0.02244772,0.016591284,-0.0019955826,-0.0041666594,0.64857006,0.0017498315,80.0,8411,0.99649155,0.00027225,-381.0929260253906,255.35777282714844,0.4628424994045308,1216000,188,6241
39,-1339.3909,1103.9375,-3698.649,-101.94145,363.91763,8.0,500.0,-1.7791606,-7.3931103,0.39108837,-0.0219435,-0.8599981,1.9841682,0.021943502,0.019621896,-0.002042842,-0.004521141,0.6458711,0.0016651006,80.0,8411,0.99669033,0.0002715,-380.04193115234375,255.51333618164062,0.4615949912183419,1248000,193,6256
40,-1624.3248,1210.7615,-4386.386,-102.03198,384.7875,8.0,500.0,-1.9864906,-7.9601502,0.40456155,-0.04019623,-1.0655205,1.7901258,0.04019623,0.01841721,-0.0020142184,-0.0055393814,0.64316463,0.0018407394,80.0,8411,0.9939252,0.00027074999999999994,-380.2351379394531,256.03558349609375,0.46034749791291957,1280000,198,6349
41,-1433.1066,1104.7451,-4232.9937,-146.71523,381.98734,103.0,500.0,-1.8665378,-7.992131,0.32699686,-0.022244813,-0.79346186,1.1991028,0.022244811,0.014806807,-0.001906949,-0.0047556707,0.6404514,0.002002887,80.0,8411,0.9966855,0.00027,-379.3446350097656,256.1096496582031,0.45910001020193186,1312000,203,6504
42,-1445.0186,1092.5574,-3944.8962,-100.88887,376.12344,7.0,500.0,-1.845182,-7.3401446,0.48447588,-0.026920112,-1.2198191,1.5615138,0.026920114,0.017491959,-0.0020009314,-0.0049494333,0.6377303,0.001798832,80.0,8411,0.996566,0.00026924999999999996,-378.7223205566406,256.0820617675781,0.4578524917566854,1344000,208,6492
43,-1203.5082,1072.2256,-3737.941,-153.31607,344.69412,115.0,500.0,-1.7237945,-7.6126976,0.59497815,-0.02013752,-1.1868804,2.1452131,0.020137519,0.018264785,-0.0021419744,-0.00404355,0.635002,0.0019154691,80.0,8411,0.9968959,0.00026849999999999997,-377.5973815917969,256.13812255859375,0.45660498844061953,1376000,213,6479
44,-1358.8292,1200.151,-4292.076,-137.96342,351.7907,83.0,500.0,-1.8504329,-7.9583483,0.5233352,-0.018701619,-0.96778697,2.212811,0.018701617,0.019226357,-0.0022604966,-0.0038346539,0.63226604,0.0019242673,80.0,8411,0.99735916,0.00026775,-376.93463134765625,256.7095031738281,0.4553574914864334,1408000,218,6487
45,-1170.4781,1150.45,-3829.6968,-101.80814,320.54166,9.0,500.0,-1.7306204,-7.8001943,0.5213436,-0.016132621,-0.91402996,1.865383,0.016132623,0.019513236,-0.0021845596,-0.0040468653,0.6295227,0.0017645187,80.0,8411,0.99823093,0.000267,-375.9459533691406,257.1966247558594,0.4541099923733702,1440000,223,6485
46,-998.9624,1088.3551,-4326.1143,-102.45424,303.77228,7.0,500.0,-1.4485744,-7.989028,0.58444774,-0.0198679,-0.9099245,1.7969549,0.019867903,0.020733658,-0.0021869522,-0.0049896026,0.6267719,0.0017280963,80.0,8411,0.99708205,0.00026624999999999994,-374.1695556640625,257.8179626464844,0.4528625098195058,1472000,228,6064
47,-1026.518,1069.3534,-3814.9026,-153.82422,304.33334,109.0,500.0,-1.5344483,-7.63952,0.44570717,-0.009153652,-1.1829278,1.875875,0.009153652,0.026309457,-0.0027556196,-0.0051085325,0.62401325,0.0019386117,80.0,8411,0.99842304,0.0002655,-372.6313171386719,258.2663269042969,0.4516150086544859,1504000,233,6486
48,-1147.6885,1108.1135,-4154.164,-147.3444,326.32977,115.0,500.0,-1.7949889,-8.400577,0.52074814,0.0013909333,-1.2375008,1.8554432,-0.0013909338,0.02078871,-0.0022495394,-0.003301044,0.6212471,0.0017064982,80.0,8411,0.99934316,0.00026475,-371.4693298339844,258.5275573730469,0.4503675079386449,1536000,238,6514
49,-816.66205,985.21344,-3802.2495,-101.235214,265.06088,6.0,500.0,-1.4468294,-7.7607183,0.53056794,0.004857621,-1.0895824,2.0752294,-0.0048576198,0.024368905,-0.0025950174,-0.0044093654,0.6184732,0.0016694659,80.0,8411,0.9998482,0.00026399999999999997,-369.54168701171875,259.1880798339844,0.44911999991009005,1568000,243,6525
50,-1051.8964,1166.0149,-5453.343,-135.20474,303.67328,79.0,500.0,-1.6016062,-8.367954,0.71193594,-0.014359481,-0.90542305,1.7822585,0.014359482,0.02073203,-0.002315897,-0.0060533574,0.61569184,0.0018829841,80.0,8411,0.9983611,0.00026325,-368.4031982421875,259.8717956542969,0.44787250374661036,1600000,248,6530
51,-1355.0763,1273.7446,-4187.9814,-142.22266,337.36264,116.0,500.0,-1.9818153,-7.7323265,0.6422949,-0.01349864,-1.0307122,1.8865607,0.0134986425,0.018891012,-0.0022538253,-0.0042639254,0.6129026,0.0020036595,80.0,8411,0.9961656,0.0002625,-368.3970031738281,260.5970764160156,0.4466250119516001,1632000,253,6563
52,-1095.1714,1154.9896,-4066.978,-100.63196,304.0099,7.0,500.0,-1.7403159,-7.804706,0.603777,-0.008671311,-0.9907606,2.043993,0.008671312,0.020579856,-0.0024427758,-0.004241961,0.61010545,0.001961953,80.0,8411,0.9981384,0.00026175,-367.51373291015625,261.0538024902344,0.4453774907253942,1664000,258,6379
53,-834.0397,995.12604,-4063.2544,-102.68607,270.64603,8.0,500.0,-1.4377224,-8.137332,0.60657257,0.005270502,-0.9929087,2.1057043,-0.0052705025,0.021200577,-0.0024381983,-0.0020618716,0.6073007,0.0018518621,80.0,8411,0.99889934,0.000261,-365.6880798339844,261.52386474609375,0.444130012697655,1696000,263,6174
54,-936.89636,1113.7217,-4252.0347,-101.11998,280.8818,8.0,500.0,-1.5897238,-8.019914,0.47847724,0.001850744,-0.9913444,2.119303,-0.0018507454,0.024043938,-0.0026463876,-0.0042104456,0.6044875,0.0019199493,80.0,8411,0.9996318,0.00026024999999999996,-364.5210876464844,262.16729736328125,0.44288249146123576,1728000,268,6481
